file,symbol,action,type,time,exchange,title,url,article_id,comments
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,BTC/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,ETH/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,SOL/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,TON/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,DOGE/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,XRP/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,PI/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,ADA/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,LTC/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,PEPE/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,SUI/USDC,上架,现货,2025-08-21,okx,,,,
output/okx/okx_6bc5f694400d6389518adda7a5fd71c7.txt,TRX/USDC,上架,现货,2025-08-21,okx,,,,
output/weex/weex_c8df7443adb6ba4971bf23c95633a470.txt,IO/USDT,上架,合约,2024-06-12,weex,,,,
output/weex/weex_c8df7443adb6ba4971bf23c95633a470.txt,IO/USDT,上架,现货,2024-06-12,weex,,,,
output/weex/weex_b0334afd291addf0bc6175219ec6e6b6.txt,WOJAK/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_b0334afd291addf0bc6175219ec6e6b6.txt,WOJAK/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_bc4626bf8f7ad6cc44ce75e752c95f42.txt,ULTI/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_bc4626bf8f7ad6cc44ce75e752c95f42.txt,ULTI/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_7f39131dcb7a7ab8819e739387cdcaba.txt,15 perpetual futures trading pairs,上架,合约,2024-07-05,weex,,,,
output/weex/weex_3b68b7cf287f2f3dead8a5da085411a1.txt,VTHO/USDT,上架,现货,2024-06-07,weex,,,,
output/weex/weex_3b68b7cf287f2f3dead8a5da085411a1.txt,VTHO/USDT,上架,合约,2024-06-07,weex,,,,
output/weex/weex_591ee8de67ae579c4dc563498eb2478a.txt,StETH/USDT,上架,现货,2024-06-07,weex,,,,
output/weex/weex_4b8dee418c9824c84c56b340a81eb5eb.txt,交易对符号,上架,现货,2024-06-20,weex,,,,
output/weex/weex_0f805439aa451b7029376d6157a8f0dd.txt,10 perpetual futures trading pairs,上架,合约,2024-06-27,weex,,,,
output/weex/weex_efb1d3c2ffe9f434d6909308cce0297e.txt,10 perpetual futures trading pairs,上架,合约,2024-06-20,weex,,,,
output/weex/weex_7f0e45f85444e082f293f90eb8f75011.txt,ZRO/USDT,上架,现货,2024-06-21,weex,,,,
output/weex/weex_7f0e45f85444e082f293f90eb8f75011.txt,ZRO/USDT,上架,合约,2024-06-21,weex,,,,
output/weex/weex_47ff9a78b62d0d29105ab38b47df0786.txt,14 spot trading pairs,上架,现货,2024-07-05,weex,,,,
output/weex/weex_3747c4a9eb5a6bd3c30d6e19e4c314fa.txt,GAS/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_3747c4a9eb5a6bd3c30d6e19e4c314fa.txt,GAS/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_6886d13f7cb8dfdca7ebd69c378241a5.txt,MOG/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_6886d13f7cb8dfdca7ebd69c378241a5.txt,MOG/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_6981f4d77f0c154a9d6d95697f8151e9.txt,HIGH/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_6981f4d77f0c154a9d6d95697f8151e9.txt,HIGH/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_0701d1343f1bf4d798b6027000c2a6f8.txt,MAVIA/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_0701d1343f1bf4d798b6027000c2a6f8.txt,MAVIA/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_356077ba9689d65a850cff8ee29a3241.txt,BAT/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_7834b003ae6d082636bf3db2a21f727c.txt,TAIKO/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_7834b003ae6d082636bf3db2a21f727c.txt,TAIKO/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_8095c89c77bd2ffbbb45ee7bc6e67f03.txt,NULS/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_a7d9c11c43b4cfd196e016430099e91a.txt,PIZZA/USDT,上架,现货,2024-06-13,weex,,,,
output/weex/weex_6069f8d99559b21fb788e3601657f8de.txt,GME/USDT,上架,合约,2024-06-13,weex,,,,
output/weex/weex_6069f8d99559b21fb788e3601657f8de.txt,GME/USDT,上架,现货,2024-06-13,weex,,,,
output/blofin/blofin_be836dbb62d33a20cad3b6fb8028867e.txt,PGPT/USDT,上架,现货,2025-08-21,blofin,,,,
output/blofin/blofin_02ebf9bd051fe65043c2dea859a1c236.txt,TRXUSD,下架,合约,2025-08-15,blofin,,,,
output/blofin/blofin_4c06dafbbb95d8d55b7323cad758a7a8.txt,YZY/USDT,上架,合约,2025-08-21,blofin,,,,
output/blofin/blofin_69403cc9a09dd76c9ac72f163b8cf00a.txt,1000000PEIPEIUSDT,下架,合约,2025-08-15,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,DUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,SENDUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,QUICKUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,SCRTUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,HIVEUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,ALUUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,ROAMUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,DOLOUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,SOSOUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,PORT3USDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,NXPCUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,LAUNCHCOINUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,XIONUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,GIGAUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,CLOUDUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,DUCKUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,HPOS10lUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,DMCUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,TANSSIUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_4bf33fe394b3a642026f4047245c73a6.txt,10000COQUSDT,下架,合约,2025-08-18,blofin,,,,
output/blofin/blofin_57369cae4c9c4ed2957bca65fa778480.txt,OVL/USDT,上架,现货,2025-08-14,blofin,,,,
output/blofin/blofin_31230ce218b0090f8abcf2b8328e75b8.txt,BUZZ/USDT,下架,现货,2025-08-19,blofin,,,,
output/blofin/blofin_31230ce218b0090f8abcf2b8328e75b8.txt,MVL/USDT,下架,现货,2025-08-19,blofin,,,,
output/blofin/blofin_31230ce218b0090f8abcf2b8328e75b8.txt,ROAM/USDT,下架,现货,2025-08-19,blofin,,,,
